Modelo,Accuracy,Balanced_accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted,Recall_Alto,AUC_ROC_macro,AUC_ROC_ponderada,Tiempo_entrenamiento_seg
Random Forest optimizado,0.64,0.6065,0.5887,0.6065,0.5955,0.6431,0.6667,0.8155,0.8223,0.7282
Regresión Logística,0.6267,0.5937,0.5806,0.5937,0.5854,0.633,0.6,0.7765,0.7859,0.0505
Ensamble Voting,0.64,0.5971,0.5777,0.5971,0.584,0.6398,0.6667,0.7615,0.7817,0.804
Random Forest base,0.6667,0.571,0.59,0.571,0.5634,0.6321,0.6,0.8053,0.8177,1.0913
SVM base,0.5733,0.5752,0.5598,0.5752,0.5504,0.5927,0.6667,0.7268,0.7306,0.0296
Árbol de Decisión optimizado,0.44,0.4563,0.4921,0.4563,0.4414,0.4705,0.5333,0.6399,0.6537,0.0167
Árbol de Decisión base,0.44,0.4093,0.4333,0.4093,0.4121,0.4654,0.4,0.5641,0.5784,0.0166
